SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2562,Portugues Nivel 2,G-5002,Sabado 8:00 - 9:30 a.m,60,21,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4769,Lunes 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4770,Miercoles 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4838,Sabado 9:00 - 10:30 a.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4842,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4950,Viernes 15:00 - 16:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-4951,Viernes 20:00 - 21:30 p.m,50,50,2
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5128,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5129,Sabado 8:00 - 9:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5130,Sabado 11:00 - 12:30 a.m,50,50,0
